,emb_cos_sim,eval_lang_encoded,script,family,word_order,script_lr,training_script_lr,cmn_Hani,deu_Latn,heb_Hebr,step_Base,step_Labels,step_Step1,step_Step50+sbeam8
96,0.4997421503067016,7,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
188,0.2288703322410583,16,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
3,0.7019797563552856,3,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
128,0.2927648425102234,9,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
185,0.3970820307731628,5,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
212,0.3267330825328827,11,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
124,0.2347506433725357,2,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
156,0.4763526916503906,19,1,0,1,1,1,0,0,1,0.0,0.0,0.0,1.0
36,0.7057911157608032,16,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
199,0.5963650345802307,10,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
187,0.4558616280555725,16,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
133,0.6970932483673096,11,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
90,0.5288528203964233,0,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
49,0.7085402011871338,10,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
172,0.424919992685318,13,0,1,1,0,1,0,0,1,0.0,0.0,0.0,1.0
30,0.694671630859375,18,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
138,0.524748682975769,14,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
219,0.360987901687622,8,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
132,0.686809778213501,11,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
16,0.758806586265564,0,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
93,0.3914683759212494,13,1,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
181,0.4403573870658874,18,0,0,0,1,1,0,0,1,1.0,0.0,0.0,0.0
9,0.7210171222686768,6,0,0,1,0,1,1,0,0,0.0,0.0,1.0,0.0
37,0.7239105701446533,16,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
108,0.6623803377151489,16,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
200,0.6019743084907532,10,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
52,0.8547984957695007,2,1,1,1,1,1,1,0,0,0.0,0.0,1.0,0.0
56,0.7729384899139404,9,0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0
6,0.7532069683074951,19,0,0,1,0,1,1,0,0,0.0,0.0,0.0,1.0
195,0.2965720891952514,17,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
44,0.6074132919311523,17,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
92,0.4561266303062439,13,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
173,0.5443857908248901,13,0,1,1,0,1,0,0,1,1.0,0.0,0.0,0.0
130,0.4054755866527557,9,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
14,0.7030978798866272,1,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0
137,0.5204485654830933,14,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
157,0.4738279581069946,19,1,0,1,1,1,0,0,1,1.0,0.0,0.0,0.0
1,0.6912457942962646,3,0,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
171,0.4411334097385406,13,0,1,1,0,1,0,0,1,0.0,0.0,1.0,0.0
160,0.9017850756645204,6,1,1,1,1,1,0,0,1,0.0,0.0,0.0,1.0
89,0.7755662202835083,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
60,0.6830919981002808,11,0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0
164,0.5921531319618225,1,0,1,0,1,1,0,0,1,0.0,0.0,0.0,1.0
38,0.7103536128997803,16,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
54,0.8723305463790894,2,1,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0
161,0.8601236343383789,6,1,1,1,1,1,0,0,1,1.0,0.0,0.0,0.0
34,0.7248321175575256,5,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
32,0.7370869517326355,5,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
168,0.2635209858417511,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,1.0
112,0.4857969582080841,15,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
109,0.7585915923118591,16,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
116,0.6105236411094666,17,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
53,0.8576104640960693,2,1,1,1,1,1,1,0,0,0.0,0.0,0.0,1.0
129,0.2194358706474304,9,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
118,0.4832264184951782,17,1,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
153,0.6855134963989258,3,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
224,0.5291924476623535,12,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
193,0.3191417455673218,15,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
64,0.6555038690567017,14,0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0
175,0.3471131920814514,7,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
83,0.5150558948516846,19,0,1,1,0,1,0,1,0,1.0,0.0,0.0,0.0
101,0.9959036111831664,18,0,0,1,0,1,0,1,0,0.0,0.0,0.0,1.0
45,0.6345329284667969,17,0,0,0,1,1,1,0,0,0.0,0.0,0.0,1.0
216,0.4594576060771942,14,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
169,0.3202823400497436,0,0,1,0,0,1,0,0,1,1.0,0.0,0.0,0.0
180,0.4245583117008209,18,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1.0
85,0.5599790215492249,6,0,0,1,0,1,0,1,0,1.0,0.0,0.0,0.0
228,0.4747483432292938,4,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
142,0.5496070981025696,8,1,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
191,0.3694695234298706,15,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
72,0.7605811357498169,12,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
7,0.7221182584762573,19,0,0,1,0,1,1,0,0,1.0,0.0,0.0,0.0
167,0.2874423861503601,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0
5,0.6520296931266785,19,0,0,1,0,1,1,0,0,0.0,0.0,1.0,0.0
213,0.383232980966568,11,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
66,0.7113081812858582,14,0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0
48,0.6772552132606506,10,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
110,0.4966551661491394,16,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
106,0.5713065266609192,5,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
46,0.6276907324790955,17,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
62,0.7164779901504517,11,0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0
10,0.7323696613311768,6,0,0,1,0,1,1,0,0,0.0,0.0,0.0,1.0
58,0.7752203941345215,9,0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0
97,0.5302109122276306,7,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
209,0.484971135854721,9,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
151,0.7287217378616333,3,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
125,0.3654881119728088,2,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
114,0.5692157745361328,15,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
207,0.5014901161193848,9,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
208,0.5459016561508179,9,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
122,0.6095255613327026,10,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
11,0.7050711512565613,6,0,0,1,0,1,1,0,0,1.0,0.0,0.0,0.0
220,0.3571273684501648,8,0,0,1,0,1,0,0,1,0.0,0.0,0.0,1.0
155,0.4731744229793548,19,1,0,1,1,1,0,0,1,0.0,0.0,1.0,0.0
18,0.7194631695747375,0,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
80,0.971848726272583,3,1,1,1,1,1,0,1,0,0.0,0.0,0.0,1.0
197,0.4382678866386413,17,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
179,0.4024710357189178,18,0,0,0,1,1,0,0,1,0.0,0.0,1.0,0.0
24,0.7314922213554382,7,0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0
100,0.5261415243148804,18,0,0,1,0,1,0,1,0,0.0,0.0,1.0,0.0
201,0.5740879774093628,10,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
183,0.317528486251831,5,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
192,0.3163574635982513,15,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
211,0.3652674853801727,11,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
88,0.7154271006584167,0,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
73,0.7425434589385986,12,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
147,0.4653812646865845,4,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
68,0.6362704634666443,8,0,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
227,0.4267268776893616,4,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
79,0.9082691073417664,3,1,1,1,1,1,0,1,0,0.0,0.0,1.0,0.0
65,0.6562309265136719,14,0,1,0,1,1,1,0,0,0.0,0.0,0.0,1.0
121,0.5437872409820557,10,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
29,0.7387039065361023,18,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0
77,0.6847875714302063,4,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
223,0.4713685512542724,12,0,0,0,0,1,0,0,1,0.0,0.0,1.0,0.0
176,0.4050508737564087,7,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1.0
50,0.736625611782074,10,0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0
217,0.5338140726089478,14,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
2,0.7342196702957153,3,0,0,1,1,1,1,0,0,0.0,0.0,0.0,1.0
70,0.7246185541152954,8,0,0,1,1,1,1,0,0,1.0,0.0,0.0,0.0
203,0.2242408990859985,2,0,0,1,0,1,0,0,1,0.0,0.0,1.0,0.0
177,0.3592064976692199,7,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
205,0.2882682681083679,2,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
141,0.4926136434078216,8,1,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0
136,0.4350439012050628,14,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
159,0.8773176670074463,6,1,1,1,1,1,0,0,1,0.0,0.0,1.0,0.0
120,0.562464714050293,10,0,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
102,0.6007211208343506,18,0,0,1,0,1,0,1,0,1.0,0.0,0.0,0.0
165,0.7674503326416016,1,0,1,0,1,1,0,0,1,1.0,0.0,0.0,0.0
229,0.408765971660614,4,0,0,1,0,1,0,0,1,1.0,0.0,0.0,0.0
28,0.7241194248199463,18,0,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0
98,0.5757045745849609,7,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
145,0.6098600625991821,12,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
20,0.6932644844055176,13,0,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0
126,0.2785981893539428,2,0,0,1,1,1,0,1,0,1.0,0.0,0.0,0.0
140,0.4553329348564148,8,1,0,1,1,1,0,1,0,0.0,0.0,1.0,0.0
