model,training,eval_lang,step,pred_langs
gtr_deu_Latn,['deu_Latn'],pan_Guru,Base,"{'eng_Latn': 0.06, 'deu_Latn': 0.08}"
gtr_deu_Latn,['deu_Latn'],tur_Latn,Labels,{'tur_Latn': 0.99}
gtr_deu_Latn,['deu_Latn'],tur_Latn,Step1,"{'deu_Latn': 0.59, 'tur_Latn': 0.19}"
gtr_deu_Latn,['deu_Latn'],tur_Latn,Step50+sbeam8,"{'deu_Latn': 0.57, 'tur_Latn': 0.17}"
gtr_deu_Latn,['deu_Latn'],tur_Latn,Base,"{'tur_Latn': 0.33, 'deu_Latn': 0.4}"
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Labels,{'kaz_Cyrl': 1.0}
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Step1,{'deu_Latn': 0.12}
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Step50+sbeam8,{'deu_Latn': 0.09}
gtr_deu_Latn,['deu_Latn'],kaz_Cyrl,Base,"{'tur_Latn': 0.16, 'deu_Latn': 0.15, 'kaz_Cyrl': 0.09}"
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Labels,{'cmn_Hani': 1.0}
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Step1,{'deu_Latn': 0.28}
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Step50+sbeam8,{'deu_Latn': 0.06}
gtr_deu_Latn,['deu_Latn'],cmn_Hani,Base,"{'deu_Latn': 0.51, 'eng_Latn': 0.07}"
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Labels,{'jpn_Jpan': 0.99}
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Step1,{'deu_Latn': 0.45}
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Step50+sbeam8,{'deu_Latn': 0.39}
gtr_deu_Latn,['deu_Latn'],jpn_Jpan,Base,"{'deu_Latn': 0.55, 'eng_Latn': 0.06}"
gtr_deu_Latn,['deu_Latn'],kor_Hang,Labels,{'kor_Hang': 0.99}
gtr_deu_Latn,['deu_Latn'],kor_Hang,Step1,{'eng_Latn': 0.07}
gtr_deu_Latn,['deu_Latn'],kor_Hang,Step50+sbeam8,{'eng_Latn': 0.07}
gtr_deu_Latn,['deu_Latn'],kor_Hang,Base,"{'eng_Latn': 0.08, 'deu_Latn': 0.09}"
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Labels,{'mon_Cyrl': 0.98}
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Step1,{'deu_Latn': 0.09}
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Step50+sbeam8,{'deu_Latn': 0.07}
gtr_deu_Latn,['deu_Latn'],mon_Cyrl,Base,"{'tur_Latn': 0.12, 'eng_Latn': 0.08, 'deu_Latn': 0.1}"
gtr_deu_Latn,['deu_Latn'],hun_Latn,Labels,{'hun_Latn': 1.0}
gtr_deu_Latn,['deu_Latn'],hun_Latn,Step1,"{'deu_Latn': 0.46, 'tur_Latn': 0.07, 'hun_Latn': 0.11}"
gtr_deu_Latn,['deu_Latn'],hun_Latn,Step50+sbeam8,"{'deu_Latn': 0.5, 'hun_Latn': 0.12}"
gtr_deu_Latn,['deu_Latn'],hun_Latn,Base,"{'deu_Latn': 0.42, 'hun_Latn': 0.07, 'tur_Latn': 0.11}"
gtr_deu_Latn,['deu_Latn'],mhr_Cyrl,Labels,"{'kaz_Cyrl': 0.63, 'mon_Cyrl': 0.23}"
gtr_deu_Latn,['deu_Latn'],mhr_Cyrl,Step1,{'deu_Latn': 0.06}
gtr_deu_Latn,['deu_Latn'],mhr_Cyrl,Step50+sbeam8,{}
gtr_deu_Latn,['deu_Latn'],mhr_Cyrl,Base,"{'tur_Latn': 0.17, 'kaz_Cyrl': 0.11, 'deu_Latn': 0.1}"
gtr_deu_Latn,['deu_Latn'],fin_Latn,Labels,{'fin_Latn': 1.0}
gtr_deu_Latn,['deu_Latn'],fin_Latn,Step1,"{'deu_Latn': 0.68, 'fin_Latn': 0.16}"
gtr_deu_Latn,['deu_Latn'],fin_Latn,Step50+sbeam8,"{'deu_Latn': 0.72, 'fin_Latn': 0.15}"
gtr_deu_Latn,['deu_Latn'],fin_Latn,Base,"{'deu_Latn': 0.6, 'fin_Latn': 0.18}"
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Labels,{'deu_Latn': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Step1,{'deu_Latn': 0.83}
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Step50+sbeam8,"{'deu_Latn': 0.72, 'eng_Latn': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],deu_Latn,Base,{'deu_Latn': 0.88}
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Labels,{'heb_Hebr': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Step1,{'heb_Hebr': 0.99}
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Step50+sbeam8,{'heb_Hebr': 0.98}
alephbert_heb_Hebr,['heb_Hebr'],ydd_Hebr,Base,{'heb_Hebr': 0.99}
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Labels,{'heb_Hebr': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Step1,{'heb_Hebr': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Step50+sbeam8,{'heb_Hebr': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],heb_Hebr,Base,{'heb_Hebr': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Labels,{'arb_Arab': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Step1,"{'arb_Arab': 0.64, 'heb_Hebr': 0.13, 'eng_Latn': 0.14, 'mon_Cyrl': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Step50+sbeam8,"{'arb_Arab': 0.61, 'heb_Hebr': 0.13, 'eng_Latn': 0.19}"
alephbert_heb_Hebr,['heb_Hebr'],arb_Arab,Base,"{'arb_Arab': 0.81, 'eng_Latn': 0.13}"
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Labels,"{'amh_Ethi': 0.78, 'eng_Latn': 0.17}"
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Step1,"{'heb_Hebr': 0.11, 'eng_Latn': 0.2}"
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Step50+sbeam8,"{'heb_Hebr': 0.12, 'eng_Latn': 0.09}"
alephbert_heb_Hebr,['heb_Hebr'],amh_Ethi,Base,{'eng_Latn': 0.31}
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Labels,"{'eng_Latn': 0.12, 'deu_Latn': 0.2, 'mlt_Latn': 0.25, 'fin_Latn': 0.1}"
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Step1,"{'tur_Latn': 0.37, 'eng_Latn': 0.13}"
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.17, 'tur_Latn': 0.36}"
alephbert_heb_Hebr,['heb_Hebr'],mlt_Latn,Base,{'eng_Latn': 0.21}
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Labels,"{'hin_Deva': 0.72, 'eng_Latn': 0.24}"
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Step1,"{'eng_Latn': 0.58, 'deu_Latn': 0.1, 'kaz_Cyrl': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Step50+sbeam8,"{'eng_Latn': 0.5, 'tur_Latn': 0.07, 'cmn_Hani': 0.06, 'heb_Hebr': 0.07}"
alephbert_heb_Hebr,['heb_Hebr'],hin_Deva,Base,"{'eng_Latn': 0.52, 'mon_Cyrl': 0.33}"
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Labels,{'urd_Arab': 0.98}
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Step1,"{'mon_Cyrl': 0.51, 'eng_Latn': 0.07, 'cmn_Hani': 0.29, 'heb_Hebr': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Step50+sbeam8,"{'cmn_Hani': 0.41, 'eng_Latn': 0.2, 'tur_Latn': 0.1, 'heb_Hebr': 0.09}"
alephbert_heb_Hebr,['heb_Hebr'],urd_Arab,Base,"{'arb_Arab': 0.56, 'cmn_Hani': 0.31, 'eng_Latn': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Labels,{'guj_Gujr': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Step1,"{'eng_Latn': 0.18, 'heb_Hebr': 0.11}"
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Step50+sbeam8,"{'eng_Latn': 0.07, 'heb_Hebr': 0.14}"
alephbert_heb_Hebr,['heb_Hebr'],guj_Gujr,Base,{'eng_Latn': 0.34}
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Labels,{'eng_Latn': 0.2}
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Step1,"{'eng_Latn': 0.19, 'heb_Hebr': 0.18}"
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Step50+sbeam8,"{'heb_Hebr': 0.2, 'eng_Latn': 0.08}"
alephbert_heb_Hebr,['heb_Hebr'],sin_Sinh,Base,"{'eng_Latn': 0.35, 'heb_Hebr': 0.09}"
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Labels,{'pan_Guru': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Step1,"{'heb_Hebr': 0.1, 'eng_Latn': 0.16}"
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Step50+sbeam8,{'heb_Hebr': 0.14}
alephbert_heb_Hebr,['heb_Hebr'],pan_Guru,Base,"{'eng_Latn': 0.28, 'tur_Latn': 0.07}"
alephbert_heb_Hebr,['heb_Hebr'],tur_Latn,Labels,{'tur_Latn': 0.99}
alephbert_heb_Hebr,['heb_Hebr'],tur_Latn,Step1,"{'heb_Hebr': 0.1, 'tur_Latn': 0.1, 'eng_Latn': 0.26}"
alephbert_heb_Hebr,['heb_Hebr'],tur_Latn,Step50+sbeam8,"{'heb_Hebr': 0.11, 'tur_Latn': 0.2, 'eng_Latn': 0.2}"
alephbert_heb_Hebr,['heb_Hebr'],tur_Latn,Base,"{'eng_Latn': 0.38, 'heb_Hebr': 0.07}"
alephbert_heb_Hebr,['heb_Hebr'],kaz_Cyrl,Labels,{'kaz_Cyrl': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],kaz_Cyrl,Step1,"{'kaz_Cyrl': 0.31, 'mon_Cyrl': 0.26, 'heb_Hebr': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],kaz_Cyrl,Step50+sbeam8,"{'mon_Cyrl': 0.19, 'kaz_Cyrl': 0.3, 'heb_Hebr': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],kaz_Cyrl,Base,"{'mon_Cyrl': 0.6, 'kaz_Cyrl': 0.14}"
alephbert_heb_Hebr,['heb_Hebr'],cmn_Hani,Labels,{'cmn_Hani': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],cmn_Hani,Step1,"{'heb_Hebr': 0.29, 'cmn_Hani': 0.19, 'eng_Latn': 0.12}"
alephbert_heb_Hebr,['heb_Hebr'],cmn_Hani,Step50+sbeam8,"{'eng_Latn': 0.11, 'heb_Hebr': 0.27, 'cmn_Hani': 0.19}"
alephbert_heb_Hebr,['heb_Hebr'],cmn_Hani,Base,"{'eng_Latn': 0.17, 'heb_Hebr': 0.19, 'cmn_Hani': 0.25, 'hin_Deva': 0.07}"
alephbert_heb_Hebr,['heb_Hebr'],jpn_Jpan,Labels,{'jpn_Jpan': 0.99}
alephbert_heb_Hebr,['heb_Hebr'],jpn_Jpan,Step1,"{'eng_Latn': 0.29, 'cmn_Hani': 0.42, 'heb_Hebr': 0.13}"
alephbert_heb_Hebr,['heb_Hebr'],jpn_Jpan,Step50+sbeam8,"{'eng_Latn': 0.23, 'cmn_Hani': 0.41, 'heb_Hebr': 0.13}"
alephbert_heb_Hebr,['heb_Hebr'],jpn_Jpan,Base,"{'eng_Latn': 0.33, 'cmn_Hani': 0.44, 'heb_Hebr': 0.06}"
alephbert_heb_Hebr,['heb_Hebr'],kor_Hang,Labels,{'kor_Hang': 0.99}
alephbert_heb_Hebr,['heb_Hebr'],kor_Hang,Step1,"{'eng_Latn': 0.5, 'heb_Hebr': 0.08}"
alephbert_heb_Hebr,['heb_Hebr'],kor_Hang,Step50+sbeam8,"{'eng_Latn': 0.43, 'tur_Latn': 0.21, 'heb_Hebr': 0.07}"
alephbert_heb_Hebr,['heb_Hebr'],kor_Hang,Base,"{'eng_Latn': 0.46, 'tur_Latn': 0.09, 'cmn_Hani': 0.07}"
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Labels,{'mon_Cyrl': 0.98}
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Step1,"{'kaz_Cyrl': 0.4, 'mon_Cyrl': 0.2}"
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Step50+sbeam8,"{'kaz_Cyrl': 0.54, 'mon_Cyrl': 0.12}"
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Base,"{'kaz_Cyrl': 0.13, 'mon_Cyrl': 0.59}"
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Labels,{'hun_Latn': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Step1,"{'tur_Latn': 0.25, 'eng_Latn': 0.3}"
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Step50+sbeam8,"{'tur_Latn': 0.25, 'eng_Latn': 0.28}"
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Base,"{'eng_Latn': 0.34, 'tur_Latn': 0.08}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Labels,"{'kaz_Cyrl': 0.63, 'mon_Cyrl': 0.23}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Step1,"{'mon_Cyrl': 0.37, 'kaz_Cyrl': 0.43}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Step50+sbeam8,"{'mon_Cyrl': 0.16, 'kaz_Cyrl': 0.6}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Base,"{'mon_Cyrl': 0.66, 'kaz_Cyrl': 0.15}"
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Labels,{'fin_Latn': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Step1,"{'eng_Latn': 0.34, 'tur_Latn': 0.15}"
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Step50+sbeam8,"{'eng_Latn': 0.37, 'tur_Latn': 0.17}"
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Base,"{'eng_Latn': 0.39, 'tur_Latn': 0.1}"
